bar,display,side,price_range,center,label_size,source,identity_backed,prints,buy_volume,sell_volume,volume,delta,delta_share,bins,visual01
13:30:00,13:32:30,BUY,7750.00-7750.25,7750.00,204,trade,0,130,204,0,204,204,1.000,2,0.170
13:30:00,13:32:30,BUY,7752.00-7752.50,7752.25,485,delta,0,617,734,249,983,485,0.493,1,1.000
13:30:00,13:32:30,BUY,7752.00-7752.50,7752.25,232,trade,0,67,232,0,232,232,1.000,3,0.360
13:40:00,13:42:30,SELL,7748.25-7749.50,7748.75,410,trade,0,314,0,410,410,-410,1.000,6,0.877
13:40:00,13:42:30,BUY,7749.50,7749.50,220,trade,0,29,220,0,220,220,1.000,1,0.294
13:50:00,13:52:30,SELL,7743.50-7743.75,7743.50,202,delta,0,532,266,468,734,-202,0.275,1,0.147
13:50:00,13:52:30,SELL,7744.25-7744.50,7744.50,274,trade,0,30,0,274,274,-274,1.000,2,0.530
14:00:00,14:02:30,SELL,7738.25-7739.00,7738.75,565,trade,0,245,0,565,565,-565,1.000,4,1.000
14:00:00,14:02:30,SELL,7739.25-7739.75,7739.50,231,trade,0,161,0,231,231,-231,1.000,3,0.355
14:10:00,14:12:30,SELL,7730.75-7731.75,7731.25,328,delta,0,621,287,615,902,-328,0.364,1,0.689
14:10:00,14:12:30,SELL,7730.75-7731.75,7731.25,382,trade,0,251,0,382,382,-382,1.000,5,0.818
14:10:00,14:12:30,SELL,7733.50-7733.75,7733.50,207,trade,0,42,0,207,207,-207,1.000,2,0.199
14:10:00,14:12:30,SELL,7734.75-7735.25,7735.00,217,trade,0,109,0,217,217,-217,1.000,3,0.275
14:25:00,14:27:30,SELL,7729.75,7729.75,236,trade,0,23,0,236,236,-236,1.000,1,0.379
