symbol,line,ts_utc,et,mono_us,event,campaign_id,campaign_digest,status,side,probe_quantity,add_quantity,campaign_max_position_quantity,max_retry,resumed_from_retry_pause,instance_max_quantity,waypoint_count,notes
NQ,10858,2026-08-27T13:17:36.0472852Z,09:17:36,1042461,campaign_loaded,nq-2026-08-26-short-callwall-repair-29260-29280,08e970d72916e0195682d4e06e693135cb993271e209430f5b96e932817de99f,active,Short,2,2,4,3,False,10,6,"Live NQ Kahn short from 2026-08-26 13:30 ET: first call-wall repair after PM lower break. Probe 29260-29280, base/add 2/2, max 4. Add only back at edge near original entry; no adding below entry range. Aggressive target 29235-29240. Manage aggressively; GEX is location context only."
ES,6601,2026-08-27T13:17:36.1630336Z,09:17:36,316645,campaign_loaded,es-2026-08-26-short-callwall-repair-7687-7695,73f407c1c6b8854a553dd3d633d962a750252c70048d7934c0b9b4df54ff4ef9,active,Short,2,2,4,3,False,10,6,"Live ES Kahn short from 2026-08-26 13:30 ET: first call-wall/zero-gamma repair after PM IB-low break. Probe 7687-7695, base/add 2/2, max 4. Add only back at edge near original entry; no adding below entry range. Aggressive target 7678-7680. Manage aggressively; GEX is location context only."
ES,6798,2026-08-27T13:51:50.5045464Z,09:51:50,2054369668,campaign_loaded,es-2026-08-27-long-orr-7716-7726,b467a232848e9d2dc0ca8b075fef8ef32ac2dd8e9f67aa362f887edd0fd66019,active,Long,2,2,4,3,False,10,7,"Live 2026-08-27 ES ORR long. Probe 7716-7726, scale only above 7728, harvest 7732-7736, target 7741. Base/add 2/2, max 4, max_retry 3. GEX/location context does not replace Kahn LL/footprint evidence."
NQ,11106,2026-08-27T13:51:50.5053385Z,09:51:50,2055211989,campaign_loaded,nq-2026-08-27-long-orr-29480-29520,6d046374d51242618001801bbceea3504fd68ce2aa249f0bbe776cc3bf0237eb,active,Long,2,2,4,3,False,10,6,"Live 2026-08-27 NQ ORR long. Probe 29480-29520, build/scale only above 29540, target 29655-29662. Base/add 2/2, max 4, max_retry 3. Deeper repair probe, not the earlier high-probe idea."
NQ,11912,2026-08-27T14:24:31.5630481Z,10:24:31,4016202209,campaign_loaded,nq-2026-08-27-long-orr-29480-29520,054ef3d2e22425d5aedec39cee27e3852b165fd21fac61ddc4874c9880f16f8b,draft,Long,2,2,4,3,False,10,6,"Live 2026-08-27 NQ ORR long. Probe 29480-29520, build/scale only above 29540, target 29655-29662. Base/add 2/2, max 4, max_retry 3. Deeper repair probe, not the earlier high-probe idea. Retired/disabled by operator at 2026-08-27T14:24:31Z: wait for IB completion / 10:30 proof before any fresh NQ campaign."
NQ,12132,2026-08-27T14:54:16.3809400Z,10:54:16,5800958707,campaign_loaded,nq-2026-08-27-long-postib-uppernode-29572-29612,553991ae39751608a6fe7301a8dd9778f6fd4727c16568b7ff3f4722cc75ad1d,active,Long,2,2,4,3,False,10,8,"Live 2026-08-27 NQ post-IB long continuation/reclaim campaign. Fresh Skurry at ~10:52 ET: RTH p profile, value 29499-29600, POC 29575.5; post-IB DD, value 29557.5-29604, POC 29575.5; rotation neutral, swing bullish. Fresh GexBot live_refresh: positive volume wall 29612.12, positive OI 29562/29572, zero areas 29519/29551. Base/add 2/2, max 4, max_retry 3. Probe only 29572-29594; no add below/inside 29612 wall; scale only after 29616 accepts; target 29652-29662; wrong below 29552. Timestamp correction: active base-entry window expires at 2026-08-27T15:30:00Z / 11:30 ET."
NQ,13161,2026-08-27T15:42:56.4958275Z,11:42:56,800225,campaign_loaded,nq-2026-08-27-long-postib-uppernode-29572-29612,553991ae39751608a6fe7301a8dd9778f6fd4727c16568b7ff3f4722cc75ad1d,active,Long,2,2,4,3,False,10,8,"Live 2026-08-27 NQ post-IB long continuation/reclaim campaign. Fresh Skurry at ~10:52 ET: RTH p profile, value 29499-29600, POC 29575.5; post-IB DD, value 29557.5-29604, POC 29575.5; rotation neutral, swing bullish. Fresh GexBot live_refresh: positive volume wall 29612.12, positive OI 29562/29572, zero areas 29519/29551. Base/add 2/2, max 4, max_retry 3. Probe only 29572-29594; no add below/inside 29612 wall; scale only after 29616 accepts; target 29652-29662; wrong below 29552. Timestamp correction: active base-entry window expires at 2026-08-27T15:30:00Z / 11:30 ET."
NQ,13167,2026-08-27T16:27:51.0160518Z,12:27:51,445395,campaign_loaded,nq-2026-08-27-long-postib-uppernode-29572-29612,a041ad7244420b24360c24b61cf1d4de286591be58e97575d79a955452c70fa8,draft,Long,2,2,4,3,False,10,8,"Live 2026-08-27 NQ post-IB long continuation/reclaim campaign. Fresh Skurry at ~10:52 ET: RTH p profile, value 29499-29600, POC 29575.5; post-IB DD, value 29557.5-29604, POC 29575.5; rotation neutral, swing bullish. Fresh GexBot live_refresh: positive volume wall 29612.12, positive OI 29562/29572, zero areas 29519/29551. Base/add 2/2, max 4, max_retry 3. Probe only 29572-29594; no add below/inside 29612 wall; scale only after 29616 accepts; target 29652-29662; wrong below 29552. Timestamp correction: active base-entry window expires at 2026-08-27T15:30:00Z / 11:30 ET. Disabled by operator at 2026-08-27T15:45:27Z: prevent NQ Kahn restart from picking up stale campaign/directive."
ES,9659,2026-08-27T16:27:51.4650535Z,12:27:51,278443,campaign_loaded,es-2026-08-27-long-orr-7716-7726,b467a232848e9d2dc0ca8b075fef8ef32ac2dd8e9f67aa362f887edd0fd66019,active,Long,2,2,4,3,False,10,7,"Live 2026-08-27 ES ORR long. Probe 7716-7726, scale only above 7728, harvest 7732-7736, target 7741. Base/add 2/2, max 4, max_retry 3. GEX/location context does not replace Kahn LL/footprint evidence."
ES,9711,2026-08-27T17:09:15.5740175Z,13:09:15,2484301932,campaign_loaded,es-2026-08-27-long-lunch-break-repair-7742-7747,abc04949a439440df8c788b76bc632c42ffa510ee18299409c932ad15a855ca3,draft,Long,2,2,6,3,False,10,8,"Provisional draft only; do not dispatch until the current 5m candle closes. Live 2026-08-27 lunch break-and-repair long. Fresh Skurry/GexBot ~12:46 ET: ES broke above 7743/7744 with no exhaustion, non-low-volume continuation bars, RTH value shifted higher, prior 7728-7730 resistance converted to support. GEX live_refresh: call wall/major positive volume ~7748.97, positive OI ~7753.97, negative OI/converted support ~7728.97. Base/add 2/2, max position 6, retries 3. Leverage inside accepted repair/range only; suppress adds into fresh highs."
