et,open,high,low,close,volume,buy_volume,sell_volume,delta,prints,rth_volume_percentile,hit_target_low,hit_target_high
10:35:00,7725.5,7729.0,7725.5,7728.75,2759.0,1625.0,1134.0,491.0,2021,0.7058823529411765,False,False
10:36:00,7728.75,7729.75,7728.25,7729.75,2129.0,970.0,1159.0,-189.0,1581,0.5115089514066496,False,False
10:37:00,7729.75,7732.25,7729.25,7729.75,3171.0,1678.0,1493.0,185.0,2196,0.7851662404092071,False,False
10:38:00,7729.5,7730.0,7727.5,7728.5,2961.0,1303.0,1658.0,-355.0,2035,0.7519181585677749,False,False
10:39:00,7728.5,7728.75,7725.0,7725.0,4339.0,1743.0,2596.0,-853.0,2973,0.8772378516624041,False,False
10:40:00,7725.0,7727.25,7724.5,7726.5,3359.0,1607.0,1752.0,-145.0,2500,0.8107416879795396,False,False
10:41:00,7726.25,7727.5,7725.0,7726.75,2553.0,1286.0,1267.0,19.0,1854,0.659846547314578,False,False
10:42:00,7726.5,7728.25,7726.5,7728.25,2475.0,1363.0,1112.0,251.0,1804,0.6419437340153452,False,False
10:43:00,7728.0,7728.25,7726.5,7727.25,1999.0,1029.0,970.0,59.0,1388,0.4782608695652174,False,False
10:44:00,7727.25,7728.25,7725.75,7727.75,2424.0,1165.0,1259.0,-94.0,1875,0.629156010230179,False,False
10:45:00,7727.5,7728.0,7725.75,7728.0,2695.0,1307.0,1388.0,-81.0,2047,0.690537084398977,False,False
10:46:00,7727.75,7729.5,7727.75,7729.25,2251.0,1136.0,1115.0,21.0,1775,0.5473145780051151,False,False
10:47:00,7729.25,7729.25,7725.0,7725.75,2701.0,1322.0,1379.0,-57.0,2065,0.6930946291560103,False,False
10:48:00,7726.0,7730.75,7725.25,7730.75,2708.0,1443.0,1265.0,178.0,2066,0.7007672634271099,False,False
10:49:00,7730.75,7734.5,7730.0,7733.75,4997.0,2989.0,2008.0,981.0,3100,0.9181585677749361,False,False
10:50:00,7733.75,7734.75,7732.5,7733.0,5451.0,2699.0,2752.0,-53.0,3489,0.9462915601023018,False,False
10:51:00,7733.0,7733.5,7732.25,7732.5,2569.0,1252.0,1317.0,-65.0,1905,0.6675191815856778,False,False
10:52:00,7732.75,7736.0,7731.75,7734.25,4821.0,2608.0,2213.0,395.0,3105,0.9104859335038363,False,False
10:53:00,7734.25,7734.5,7730.5,7732.25,2796.0,1284.0,1512.0,-228.0,2040,0.7135549872122762,False,False
10:54:00,7732.0,7733.5,7730.75,7732.75,3347.0,1820.0,1527.0,293.0,2293,0.80306905370844,False,False
10:55:00,7733.0,7733.5,7729.0,7729.75,4480.0,1749.0,2731.0,-982.0,2868,0.8951406649616368,False,False
10:56:00,7729.75,7731.25,7728.75,7729.75,2569.0,1205.0,1364.0,-159.0,1873,0.6675191815856778,False,False
10:57:00,7729.75,7732.5,7729.75,7731.0,2389.0,1217.0,1172.0,45.0,1811,0.618925831202046,False,False
10:58:00,7731.0,7734.0,7730.5,7733.75,1950.0,1007.0,943.0,64.0,1558,0.46035805626598464,False,False
10:59:00,7733.75,7735.5,7733.75,7735.25,3750.0,1842.0,1908.0,-66.0,2535,0.8465473145780051,False,False
11:00:00,7735.5,7737.0,7734.0,7736.5,3746.0,2183.0,1563.0,620.0,2710,0.8439897698209718,False,False
11:01:00,7736.75,7738.25,7736.0,7737.5,2867.0,1377.0,1490.0,-113.0,2052,0.7289002557544757,False,False
11:02:00,7737.5,7738.0,7736.5,7736.75,1968.0,895.0,1073.0,-178.0,1452,0.46547314578005117,False,False
11:03:00,7737.0,7737.25,7733.75,7734.25,3030.0,1367.0,1663.0,-296.0,2208,0.7698209718670077,False,False
11:04:00,7734.25,7738.0,7734.0,7737.75,2368.0,1234.0,1134.0,100.0,1774,0.6112531969309463,False,False
11:05:00,7738.0,7738.5,7737.0,7737.75,2015.0,1021.0,994.0,27.0,1580,0.4859335038363171,False,False
11:06:00,7737.75,7737.75,7735.75,7735.75,1604.0,704.0,900.0,-196.0,1367,0.3350383631713555,False,False
11:07:00,7736.0,7737.0,7735.0,7736.25,2288.0,1084.0,1204.0,-120.0,1798,0.5728900255754475,False,False
11:08:00,7736.0,7736.25,7734.75,7736.25,1325.0,609.0,716.0,-107.0,1097,0.20460358056265984,False,False
11:09:00,7736.25,7737.5,7735.25,7737.0,1281.0,659.0,622.0,37.0,1062,0.18925831202046037,False,False
11:10:00,7737.0,7738.0,7736.75,7737.0,1604.0,642.0,962.0,-320.0,1186,0.3350383631713555,False,False
11:11:00,7737.25,7738.5,7737.0,7738.0,1530.0,779.0,751.0,28.0,1239,0.289002557544757,False,False
