source,line,utc,et,event,campaign_id,action,policy,reason,waypoint,phase,pos_before,price,evidence_kind,evidence_side,evidence_range,ts_utc,mono_us,simulated_position_quantity,live_position_quantity,active_risk_anchor,active_risk_anchor_evidence_id,root_risk_anchor,root_risk_anchor_evidence_id,armed_waypoint_id,suppress_adds_until,execution_attempt_count,max_retry,retries_remaining,execution_pause_reason,execution_paused_at,execution_accepted,execution_shadow,execution_order_id,execution_message,kind,mid_price,band_side,band_state,band_min,band_max,band_score,candidate_side,candidate_min,candidate_max,candidate_score
kahn,8517,2026-08-27T14:35:00.073626Z,10:35:00,policy_decision,es-2026-08-27-long-orr-7716-7726,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,ProbeOpen,2,7725.375,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,8518,2026-08-27T14:35:00.075132Z,10:35:00,campaign_state,es-2026-08-27-long-orr-7716-7726,,,,,ProbeOpen,,,,,,2026-08-27T14:35:00.0751323Z,4643851114,2,2,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,,2026-08-27T14:36:30.0667161+00:00,3,3,0,,,True,False,,state-only decision,,,,,,,,,,,
kahn,8519,2026-08-27T14:35:05.328321Z,10:35:05,policy_decision,es-2026-08-27-long-orr-7716-7726,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,ProbeOpen,2,7726.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,8520,2026-08-27T14:35:05.328885Z,10:35:05,campaign_state,es-2026-08-27-long-orr-7716-7726,,,,,ProbeOpen,,,,,,2026-08-27T14:35:05.3288857Z,4649104682,2,2,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,,2026-08-27T14:36:35.3271162+00:00,3,3,0,,,True,False,,state-only decision,,,,,,,,,,,
kahn,8522,2026-08-27T14:35:10.571074Z,10:35:10,policy_decision,es-2026-08-27-long-orr-7716-7726,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,ProbeOpen,2,7726.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,8523,2026-08-27T14:35:10.571377Z,10:35:10,campaign_state,es-2026-08-27-long-orr-7716-7726,,,,,ProbeOpen,,,,,,2026-08-27T14:35:10.5713779Z,4654346994,2,2,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,,2026-08-27T14:36:40.5704219+00:00,3,3,0,,,True,False,,state-only decision,,,,,,,,,,,
kahn,8525,2026-08-27T14:35:14.574461Z,10:35:14,ll_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RailHeld,7726.5,Demand,Owned,7723.5,7724.0,11.296402235539828,,,,
kahn,8526,2026-08-27T14:35:15.578258Z,10:35:15,policy_decision,es-2026-08-27-long-orr-7716-7726,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,ProbeOpen,2,7726.625,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,8527,2026-08-27T14:35:15.578612Z,10:35:15,campaign_state,es-2026-08-27-long-orr-7716-7726,,,,,ProbeOpen,,,,,,2026-08-27T14:35:15.5786125Z,4659354056,2,2,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,"{'lower': 7712, 'upper': 7714.75}",live-ll-30-RailHeld-639234364735137021,,2026-08-27T14:36:45.5751227+00:00,3,3,0,,,True,False,,state-only decision,,,,,,,,,,,
kahn,8530,2026-08-27T14:35:20.829627Z,10:35:20,policy_decision,es-2026-08-27-long-orr-7716-7726,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,ProbeOpen,2,7725.625,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
