source,line,utc,et,event,campaign_id,action,policy,reason,waypoint,phase,pos_before,price,evidence_kind,evidence_side,evidence_range,ts_utc,mono_us,simulated_position_quantity,live_position_quantity,active_risk_anchor,active_risk_anchor_evidence_id,root_risk_anchor,root_risk_anchor_evidence_id,armed_waypoint_id,suppress_adds_until,execution_attempt_count,max_retry,retries_remaining,execution_pause_reason,execution_paused_at,execution_accepted,execution_shadow,execution_order_id,execution_message,kind,mid_price,band_side,band_state,band_min,band_max,band_score,candidate_side,candidate_min,candidate_max,candidate_score
kahn,10814,2026-08-27T18:18:01.192970Z,14:18:01,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7733.875,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,10815,2026-08-27T18:18:01.193576Z,14:18:01,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:18:01.1935760Z,6609780180,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:19:31.1919561+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,10817,2026-08-27T18:18:04.216063Z,14:18:04,ll_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RailTested,7734.75,Supply,Tested,7735.5,7735.5,11.928916589862665,,,,
kahn,10818,2026-08-27T18:18:06.441772Z,14:18:06,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7735.375,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,10819,2026-08-27T18:18:06.442091Z,14:18:06,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:18:06.4420913Z,6615028515,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:19:36.4411857+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,10821,2026-08-27T18:18:11.687748Z,14:18:11,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7735.125,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,10822,2026-08-27T18:18:11.688346Z,14:18:11,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:18:11.6883463Z,6620274591,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:19:41.6867377+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,10825,2026-08-27T18:18:16.691574Z,14:18:16,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7734.625,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,10826,2026-08-27T18:18:16.692154Z,14:18:16,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:18:16.6921545Z,6625278228,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:19:46.6908007+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,10828,2026-08-27T18:18:21.691976Z,14:18:21,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7734.875,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahn,10829,2026-08-27T18:18:21.692535Z,14:18:21,campaign_state,es-2026-08-27-short-upper-supply-vwap-7754-7756,,,,,BuildTrial,,,,,,2026-08-27T18:18:21.6925354Z,6630278438,2,2,"{'lower': 7743.75, 'upper': 7747.25}",live-ll-37-RailOwned-639234504886562358,"{'lower': 7751.25, 'upper': 7751.5}",live-ll-28-RailHeld-639234491436131978,,2026-08-27T18:19:51.6908347+00:00,1,3,2,,,True,False,,state-only decision,,,,,,,,,,,
kahn,10831,2026-08-27T18:18:26.940213Z,14:18:26,policy_decision,es-2026-08-27-short-upper-supply-vwap-7754-7756,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,BuildTrial,2,7734.625,PriceTouch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
