recorded_utc,recorded_et,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall
2026-08-27T13:30:00.040282Z,09:30:00,2026-08-27T11:59:46Z,ES_SPX,gex_zero,7690.41,7684.8->0,7689.72->0,7679.72->0,7689.72->7714.71,7669.72->7689.71
2026-08-27T13:31:02.656115Z,09:31:02,2026-08-27T13:31:01Z,ES_SPX,gex_zero,7720.37,0->7715.91,0->7764.71,0->7679.71,7714.71->7754.71,7689.71->7729.71
2026-08-27T13:31:02.935715Z,09:31:02,2026-08-27T13:31:02Z,ES_SPX,gex_full,7720.57,0->7715.22,0->7764.71,0->7669.71,,
2026-08-27T13:31:03.319147Z,09:31:03,2026-08-27T13:31:02Z,ES_SPX,gex_one,7720.57,0->7708.1,0->7764.71,0->7689.71,7739.71->7744.71,7714.71->7664.71
2026-08-27T13:31:03.762360Z,09:31:03,2026-08-27T13:31:02Z,NQ_NDX,gex_zero,29580.59,0->29508.81,0->29568.81,0->29497.16,29578.81->29568.97,29344.62->29348.27
2026-08-27T13:31:04.022936Z,09:31:04,2026-08-27T13:31:02Z,NQ_NDX,gex_full,29580.59,0->29508.81,0->29868.81,0->29497.16,,28718.81->29168.81
2026-08-27T13:31:04.333838Z,09:31:04,2026-08-27T13:31:04Z,NQ_NDX,gex_one,29585.17,0->29478.81,0->29868.81,0->29468.81,,
2026-08-27T13:32:04.635144Z,09:32:04,2026-08-27T13:32:03Z,ES_SPX,gex_zero,7708.56,,7764.71->7719.71,7679.71->7659.71,,7729.71->7649.71
2026-08-27T13:32:05.192952Z,09:32:05,2026-08-27T13:32:05Z,ES_SPX,gex_full,7707.68,7715.22->7716.32,7764.71->7719.71,7669.71->7659.71,,
2026-08-27T13:32:05.549840Z,09:32:05,2026-08-27T13:32:05Z,ES_SPX,gex_one,7707.68,7708.1->7709.79,7764.71->7759.71,7689.71->7674.71,,
2026-08-27T13:32:05.789069Z,09:32:05,2026-08-27T13:32:05Z,NQ_NDX,gex_zero,29490.02,,29568.81->29538.81,,29568.97->29578.81,29348.27->29346.28
2026-08-27T13:32:06.136947Z,09:32:06,2026-08-27T13:32:05Z,NQ_NDX,gex_full,29490.02,29508.81->29528.81,29868.81->30068.81,,,
2026-08-27T13:32:06.427747Z,09:32:06,2026-08-27T13:32:05Z,NQ_NDX,gex_one,29490.02,,29868.81->30068.81,,,
2026-08-27T13:33:06.831045Z,09:33:06,2026-08-27T13:33:05Z,ES_SPX,gex_zero,7711.94,7715.91->7713.1,,7659.71->7659.79,,
2026-08-27T13:33:07.270320Z,09:33:07,2026-08-27T13:33:07Z,ES_SPX,gex_full,7712.7,7716.32->7712.66,,7659.71->7659.96,,
2026-08-27T13:33:07.662686Z,09:33:07,2026-08-27T13:33:07Z,ES_SPX,gex_one,7712.7,7709.79->7709.96,7759.71->7719.71,,,
2026-08-27T13:33:08.054280Z,09:33:08,2026-08-27T13:33:06Z,NQ_NDX,gex_zero,29505.39,29508.81->29512.91,,29497.16->29498.71,,29346.28->29343.89
2026-08-27T13:33:08.323757Z,09:33:08,2026-08-27T13:33:08Z,NQ_NDX,gex_full,29509.59,29528.81->29628.81,,29497.16->29498.71,,
2026-08-27T13:34:09.180040Z,09:34:09,2026-08-27T13:34:09Z,ES_SPX,gex_zero,7709.86,7713.1->7712.21,,7659.79->7664.63,,
2026-08-27T13:34:09.606154Z,09:34:09,2026-08-27T13:34:09Z,ES_SPX,gex_full,7709.86,7712.66->7712.21,,7659.96->7674.71,,
2026-08-27T13:34:09.957213Z,09:34:09,2026-08-27T13:34:09Z,ES_SPX,gex_one,7709.86,7709.96->7862.21,7719.71->7869.71,,,
2026-08-27T13:34:10.215402Z,09:34:10,2026-08-27T13:34:09Z,NQ_NDX,gex_zero,29491.7,29512.91->29516.41,,29498.71->29498.81,,29343.89->29348.71
2026-08-27T13:34:10.550156Z,09:34:10,2026-08-27T13:34:09Z,NQ_NDX,gex_full,29491.7,,,29498.71->29498.81,,
2026-08-27T13:34:10.876458Z,09:34:10,2026-08-27T13:34:10Z,NQ_NDX,gex_one,29493.74,29478.81->29078.81,,29468.81->29068.81,,
2026-08-27T13:35:11.177573Z,09:35:11,2026-08-27T13:35:11Z,ES_SPX,gex_zero,7705.82,,,7664.63->7664.71,,
2026-08-27T13:35:11.820161Z,09:35:11,2026-08-27T13:35:11Z,ES_SPX,gex_one,7705.82,7862.21->7862.66,,,,
2026-08-27T13:35:12.066111Z,09:35:12,2026-08-27T13:35:11Z,NQ_NDX,gex_zero,29461.76,29516.41->29514.71,,,,29348.71->29344.06
2026-08-27T13:35:12.431331Z,09:35:12,2026-08-27T13:35:11Z,NQ_NDX,gex_full,29461.76,29628.81->29514.71,30068.81->29538.81,,,29168.81->29668.81
2026-08-27T13:35:12.807629Z,09:35:12,2026-08-27T13:35:13Z,NQ_NDX,gex_one,29460.26,,30068.81->29568.81,,,
2026-08-27T13:36:13.109390Z,09:36:13,2026-08-27T13:36:12Z,ES_SPX,gex_zero,7710.65,7712.21->7711.32,,,,
2026-08-27T13:36:13.387911Z,09:36:13,2026-08-27T13:36:12Z,ES_SPX,gex_full,7710.65,7712.21->7710.91,7719.71->7719.79,,,
2026-08-27T13:36:13.714149Z,09:36:13,2026-08-27T13:36:12Z,ES_SPX,gex_one,7710.65,7862.66->7705.91,,,,
2026-08-27T13:36:13.963905Z,09:36:13,2026-08-27T13:36:13Z,NQ_NDX,gex_zero,29481.94,,,,,29344.06->29348.27
2026-08-27T13:36:14.308993Z,09:36:14,2026-08-27T13:36:13Z,NQ_NDX,gex_full,29481.94,29514.71->29632.05,29538.81->29868.81,,,29668.81->29168.81
2026-08-27T13:36:14.625685Z,09:36:14,2026-08-27T13:36:13Z,NQ_NDX,gex_one,29481.94,,29568.81->30068.81,,,
2026-08-27T13:37:14.942324Z,09:37:14,2026-08-27T13:37:13Z,ES_SPX,gex_zero,7709.35,7711.32->7710.91,7719.71->7719.79,,,7649.71->7649.63
2026-08-27T13:37:15.228507Z,09:37:15,2026-08-27T13:37:15Z,ES_SPX,gex_full,7708.52,,7719.79->7724.63,,,
2026-08-27T13:37:15.543163Z,09:37:15,2026-08-27T13:37:15Z,ES_SPX,gex_one,7708.52,7705.91->7859.71,,,,
2026-08-27T13:37:15.801099Z,09:37:15,2026-08-27T13:37:15Z,NQ_NDX,gex_zero,29469.36,29514.71->29512.91,,,,
2026-08-27T13:37:16.124533Z,09:37:16,2026-08-27T13:37:15Z,NQ_NDX,gex_full,29469.36,29632.05->29677.15,,29498.81->29668.81,,
2026-08-27T13:37:16.360734Z,09:37:16,2026-08-27T13:37:15Z,NQ_NDX,gex_one,29469.36,,30068.81->29868.81,,,
2026-08-27T13:38:16.700725Z,09:38:16,2026-08-27T13:38:16Z,ES_SPX,gex_zero,7708.32,7710.91->7711.76,7719.79->7724.71,,,7649.63->7729.71
2026-08-27T13:38:17.085798Z,09:38:17,2026-08-27T13:38:16Z,ES_SPX,gex_full,7708.32,7710.91->7711.76,7724.63->7724.71,,,
2026-08-27T13:38:17.723753Z,09:38:17,2026-08-27T13:38:17Z,NQ_NDX,gex_zero,29471.45,29512.91->29448.81,,29498.81->29368.81,,29348.27->29347.94
2026-08-27T13:38:18.046097Z,09:38:18,2026-08-27T13:38:17Z,NQ_NDX,gex_full,29471.45,,29868.81->29768.81,,,
2026-08-27T13:38:18.376981Z,09:38:18,2026-08-27T13:38:18Z,NQ_NDX,gex_one,29469.73,,29868.81->29568.81,,,
2026-08-27T13:39:18.658209Z,09:39:18,2026-08-27T13:39:18Z,ES_SPX,gex_zero,7710.78,,7724.71->7724.63,7664.71->7674.79,,
2026-08-27T13:39:19.731260Z,09:39:19,2026-08-27T13:39:18Z,NQ_NDX,gex_zero,29473.01,29448.81->29431.22,29538.81->29598.81,,,
2026-08-27T13:39:20.018665Z,09:39:20,2026-08-27T13:39:18Z,NQ_NDX,gex_full,29473.01,29677.15->29473.01,29768.81->29598.81,,,29168.81->29668.81
2026-08-27T13:39:20.520450Z,09:39:20,2026-08-27T13:39:20Z,NQ_NDX,gex_one,29468.04,29078.81->28978.81,,29068.81->28968.81,,
2026-08-27T13:40:20.864585Z,09:40:20,2026-08-27T13:40:20Z,ES_SPX,gex_zero,7716.07,7711.76->7710.54,7724.63->7724.71,7674.79->7674.71,,
2026-08-27T13:40:21.227238Z,09:40:21,2026-08-27T13:40:20Z,ES_SPX,gex_full,7716.07,7711.76->7710.54,,,,
2026-08-27T13:40:21.478781Z,09:40:21,2026-08-27T13:40:20Z,ES_SPX,gex_one,7716.07,7859.71->7704.2,7869.71->7774.71,,,
2026-08-27T13:40:21.787412Z,09:40:21,2026-08-27T13:40:20Z,NQ_NDX,gex_zero,29515.08,,,,,29347.94->29348.71
2026-08-27T13:40:22.129905Z,09:40:22,2026-08-27T13:40:21Z,NQ_NDX,gex_full,29521.08,29473.01->29428.3,,29668.81->29368.81,,29668.81->29168.81
2026-08-27T13:40:22.418420Z,09:40:22,2026-08-27T13:40:21Z,NQ_NDX,gex_one,29521.08,28978.81->29078.81,29568.81->30068.81,28968.81->29068.81,,
2026-08-27T13:41:22.746117Z,09:41:22,2026-08-27T13:41:22Z,ES_SPX,gex_zero,7719.43,7710.54->7711.32,7724.71->7764.71,7674.71->7704.63,,
2026-08-27T13:41:23.078697Z,09:41:23,2026-08-27T13:41:22Z,ES_SPX,gex_full,7719.43,7710.54->7711.32,7724.71->7764.71,,,
2026-08-27T13:41:23.342897Z,09:41:23,2026-08-27T13:41:23Z,ES_SPX,gex_one,7720.07,7704.2->7705.91,,,,
2026-08-27T13:41:24.013569Z,09:41:24,2026-08-27T13:41:23Z,NQ_NDX,gex_full,29540.55,29428.3->29540.55,,29368.81->29668.81,,
2026-08-27T13:41:24.272683Z,09:41:24,2026-08-27T13:41:23Z,NQ_NDX,gex_one,29540.55,29078.81->28978.81,,29068.81->28968.81,,
2026-08-27T13:42:24.624025Z,09:42:24,2026-08-27T13:42:24Z,ES_SPX,gex_zero,7714.32,,7764.71->7724.71,7704.63->7679.71,,
2026-08-27T13:42:25.019432Z,09:42:25,2026-08-27T13:42:24Z,ES_SPX,gex_full,7714.32,7711.32->7710.91,7764.71->7724.71,7674.71->7679.71,,
2026-08-27T13:42:25.357430Z,09:42:25,2026-08-27T13:42:24Z,ES_SPX,gex_one,7714.32,7705.91->7707.21,,,,
2026-08-27T13:42:25.635565Z,09:42:25,2026-08-27T13:42:25Z,NQ_NDX,gex_zero,29502.66,29431.22->29358.29,,29368.81->29268.81,,
2026-08-27T13:42:25.968778Z,09:42:25,2026-08-27T13:42:25Z,NQ_NDX,gex_full,29502.66,29540.55->29502.66,,,,29168.81->29668.81
2026-08-27T13:43:26.606508Z,09:43:26,2026-08-27T13:43:25Z,ES_SPX,gex_zero,7717.39,7711.32->7711.76,,,,
2026-08-27T13:43:27.024394Z,09:43:27,2026-08-27T13:43:26Z,ES_SPX,gex_full,7717.76,7710.91->7711.32,,7679.71->7679.63,,
2026-08-27T13:43:27.774860Z,09:43:27,2026-08-27T13:43:26Z,NQ_NDX,gex_zero,29528.53,29358.29->29431.22,,29268.81->29368.81,,29348.71->29348.53
2026-08-27T13:43:28.094933Z,09:43:28,2026-08-27T13:43:26Z,NQ_NDX,gex_full,29528.53,29502.66->29528.53,,,,
2026-08-27T13:44:28.696158Z,09:44:28,2026-08-27T13:44:28Z,ES_SPX,gex_zero,7723.31,7711.76->7710.91,7724.71->7739.71,,,
2026-08-27T13:44:29.147223Z,09:44:29,2026-08-27T13:44:28Z,ES_SPX,gex_full,7723.31,7711.32->7710.91,7724.71->7764.71,,,
2026-08-27T13:44:29.445024Z,09:44:29,2026-08-27T13:44:28Z,ES_SPX,gex_one,7723.31,7707.21->7706.76,,,,
2026-08-27T13:44:29.790855Z,09:44:29,2026-08-27T13:44:29Z,NQ_NDX,gex_zero,29573.0,29431.22->29511.21,,29368.81->29498.81,,29348.53->29348.81
2026-08-27T13:44:30.072308Z,09:44:30,2026-08-27T13:44:29Z,NQ_NDX,gex_full,29573.0,29528.53->29573,,,,29668.81->29168.81
2026-08-27T13:44:30.436393Z,09:44:30,2026-08-27T13:44:30Z,NQ_NDX,gex_one,29569.72,28978.81->29093.81,,28968.81->29068.81,,
2026-08-27T13:45:30.843934Z,09:45:30,2026-08-27T13:45:29Z,ES_SPX,gex_zero,7724.28,7710.91->7710.01,7739.71->7740.01,7679.71->7678.81,7754.71->7753.81,7729.71->7728.81
2026-08-27T13:45:31.220570Z,09:45:31,2026-08-27T13:45:31Z,ES_SPX,gex_full,7724.47,7710.91->7710.01,7764.71->7743.72,7679.63->7678.72,7914.71->7913.81,7514.71->7513.81
2026-08-27T13:45:31.584694Z,09:45:31,2026-08-27T13:45:31Z,ES_SPX,gex_one,7724.47,7706.76->7706.31,7774.71->7773.81,7674.71->7673.81,7744.71->7743.81,7664.71->7663.81
2026-08-27T13:45:31.850273Z,09:45:31,2026-08-27T13:45:30Z,NQ_NDX,gex_zero,29572.84,29511.21->29508.98,29598.81->29594.88,29498.81->29494.88,29578.81->29574.88,29348.81->29344.88
2026-08-27T13:45:32.189451Z,09:45:32,2026-08-27T13:45:30Z,NQ_NDX,gex_full,29572.84,29573->29572.84,29598.81->29594.88,29668.81->29664.88,29343.81->29339.88,29168.81->29164.88
2026-08-27T13:45:32.435662Z,09:45:32,2026-08-27T13:45:32Z,NQ_NDX,gex_one,29573.68,29093.81->29089.88,30068.81->30064.88,29068.81->29064.88,29568.81->29564.88,29243.81->29239.88
2026-08-27T13:46:32.784927Z,09:46:32,2026-08-27T13:46:32Z,ES_SPX,gex_zero,7728.25,7710.01->7710.42,7740.01->7763.81,7678.81->7703.72,,
2026-08-27T13:46:33.196620Z,09:46:33,2026-08-27T13:46:32Z,ES_SPX,gex_full,7728.25,7710.01->7710.42,7743.72->7763.81,7678.72->7703.72,,
2026-08-27T13:46:33.530708Z,09:46:33,2026-08-27T13:46:32Z,ES_SPX,gex_one,7728.25,7706.31->7705.42,,,,
2026-08-27T13:46:34.157010Z,09:46:34,2026-08-27T13:46:33Z,NQ_NDX,gex_full,29596.4,29572.84->29508.98,,29664.88->29494.88,,
2026-08-27T13:47:34.773317Z,09:47:34,2026-08-27T13:47:34Z,ES_SPX,gex_zero,7714.36,7710.42->7711.31,7763.81->7738.81,7703.72->7673.81,,
2026-08-27T13:47:35.072972Z,09:47:35,2026-08-27T13:47:34Z,ES_SPX,gex_full,7714.36,7710.42->7711.31,7763.81->7738.81,7703.72->7673.81,,
2026-08-27T13:47:35.672075Z,09:47:35,2026-08-27T13:47:34Z,NQ_NDX,gex_zero,29503.8,29508.98->29429.01,,29494.88->29364.88,,
2026-08-27T13:47:36.029790Z,09:47:36,2026-08-27T13:47:34Z,NQ_NDX,gex_full,29503.8,29508.98->29428.13,,29494.88->29364.88,,29164.88->29664.88
2026-08-27T13:48:36.631123Z,09:48:36,2026-08-27T13:48:35Z,ES_SPX,gex_zero,7713.94,7711.31->7711.76,,7673.81->7673.89,,
2026-08-27T13:48:36.955462Z,09:48:36,2026-08-27T13:48:35Z,ES_SPX,gex_full,7713.94,7711.31->7711.76,7738.81->7738.89,,,
2026-08-27T13:48:37.253477Z,09:48:37,2026-08-27T13:48:35Z,ES_SPX,gex_one,7713.94,7705.42->7705.85,,,,
2026-08-27T13:48:38.241082Z,09:48:38,2026-08-27T13:48:37Z,NQ_NDX,gex_one,29499.26,29089.88->28974.88,,29064.88->28964.88,,
2026-08-27T13:49:38.546015Z,09:49:38,2026-08-27T13:49:37Z,ES_SPX,gex_zero,7709.57,7711.76->7712.19,,7673.89->7673.81,,
2026-08-27T13:49:39.054014Z,09:49:39,2026-08-27T13:49:37Z,ES_SPX,gex_full,7709.57,7711.76->7712.19,7738.89->7723.81,,,
2026-08-27T13:49:39.616207Z,09:49:39,2026-08-27T13:49:38Z,NQ_NDX,gex_zero,29459.92,29429.01->29429.91,,,,29344.88->29344.79
2026-08-27T13:49:39.868489Z,09:49:39,2026-08-27T13:49:39Z,NQ_NDX,gex_full,29455.71,29428.13->29429.91,,,,
2026-08-27T13:49:40.212416Z,09:49:40,2026-08-27T13:49:39Z,NQ_NDX,gex_one,29455.71,,30064.88->29864.88,,,
2026-08-27T13:50:40.498896Z,09:50:40,2026-08-27T13:50:39Z,ES_SPX,gex_zero,7714.89,7712.19->7712.61,,7673.81->7703.81,,
2026-08-27T13:50:40.934124Z,09:50:40,2026-08-27T13:50:40Z,ES_SPX,gex_full,7714.94,7712.19->7712.61,7723.81->7738.81,7673.81->7703.81,,
2026-08-27T13:50:41.531395Z,09:50:41,2026-08-27T13:50:41Z,NQ_NDX,gex_zero,29513.59,,,,,29344.79->29344.6
2026-08-27T13:50:41.770372Z,09:50:41,2026-08-27T13:50:41Z,NQ_NDX,gex_full,29513.59,29429.91->29461.66,,,,
2026-08-27T13:50:42.061781Z,09:50:42,2026-08-27T13:50:41Z,NQ_NDX,gex_one,29513.59,28974.88->29094.88,29864.88->30064.88,28964.88->29064.88,,
2026-08-27T13:51:42.296808Z,09:51:42,2026-08-27T13:51:41Z,ES_SPX,gex_zero,7719.16,7712.61->7712.19,,,,
2026-08-27T13:51:42.639696Z,09:51:42,2026-08-27T13:51:41Z,ES_SPX,gex_full,7719.16,7712.61->7712.19,7738.81->7739.06,,,
2026-08-27T13:51:42.966780Z,09:51:42,2026-08-27T13:51:43Z,ES_SPX,gex_one,7719.46,7705.85->7706.31,,,,
2026-08-27T13:51:43.282769Z,09:51:43,2026-08-27T13:51:42Z,NQ_NDX,gex_zero,29546.3,29429.91->29524.88,,29364.88->29494.88,,
2026-08-27T13:51:43.548999Z,09:51:43,2026-08-27T13:51:42Z,NQ_NDX,gex_full,29546.3,29461.66->29427.3,,,,29664.88->29164.88
2026-08-27T13:52:44.175357Z,09:52:44,2026-08-27T13:52:42Z,ES_SPX,gex_zero,7721.39,,7738.81->7743.55,,,
2026-08-27T13:52:44.464497Z,09:52:44,2026-08-27T13:52:42Z,ES_SPX,gex_full,7721.39,,7739.06->7743.72,,,
2026-08-27T13:52:45.044931Z,09:52:45,2026-08-27T13:52:44Z,NQ_NDX,gex_zero,29541.78,29524.88->29427.3,,29494.88->29364.88,,
2026-08-27T13:52:45.686362Z,09:52:45,2026-08-27T13:52:44Z,NQ_NDX,gex_full,29541.78,29427.3->29426.55,,,,
2026-08-27T13:53:46.746358Z,09:53:46,2026-08-27T13:53:45Z,ES_SPX,gex_full,7723.59,7712.19->7711.76,,,,
2026-08-27T13:54:48.234704Z,09:54:48,2026-08-27T13:54:47Z,ES_SPX,gex_zero,7724.36,7712.19->7712.61,7743.55->7743.72,,,
2026-08-27T13:54:48.587657Z,09:54:48,2026-08-27T13:54:47Z,ES_SPX,gex_full,7724.36,7711.76->7712.61,,,,
2026-08-27T13:54:48.899725Z,09:54:48,2026-08-27T13:54:47Z,ES_SPX,gex_one,7724.36,7706.31->7705.85,,,,
2026-08-27T13:54:49.146407Z,09:54:49,2026-08-27T13:54:47Z,NQ_NDX,gex_zero,29552.64,29427.3->29524.88,,29364.88->29494.88,,
2026-08-27T13:54:49.477904Z,09:54:49,2026-08-27T13:54:49Z,NQ_NDX,gex_full,29549.16,29426.55->29552.46,,29364.88->29494.88,,
2026-08-27T13:55:50.061108Z,09:55:50,2026-08-27T13:55:49Z,ES_SPX,gex_zero,7719.83,7712.61->7714.06,,,,
2026-08-27T13:55:50.463817Z,09:55:50,2026-08-27T13:55:49Z,ES_SPX,gex_full,7719.83,7712.61->7713.81,,,,
2026-08-27T13:55:51.117878Z,09:55:51,2026-08-27T13:55:49Z,NQ_NDX,gex_zero,29520.38,29524.88->29427.3,,29494.88->29364.88,,
2026-08-27T13:55:51.648902Z,09:55:51,2026-08-27T13:55:51Z,NQ_NDX,gex_full,29521.78,29552.46->29426.55,,29494.88->29364.88,,
2026-08-27T13:56:52.344741Z,09:56:52,2026-08-27T13:56:50Z,ES_SPX,gex_zero,7717.82,7714.06->7713.55,7743.72->7734.06,,,
2026-08-27T13:56:52.698395Z,09:56:52,2026-08-27T13:56:52Z,ES_SPX,gex_full,7717.95,7713.81->7712.19,7743.72->7733.89,,,
2026-08-27T13:56:53.270153Z,09:56:53,2026-08-27T13:56:52Z,NQ_NDX,gex_zero,29499.36,29427.3->29509.88,,29364.88->29494.88,,
2026-08-27T13:56:53.529051Z,09:56:53,2026-08-27T13:56:52Z,NQ_NDX,gex_full,29499.36,29426.55->29509.88,,29364.88->29494.88,,29164.88->29664.88
2026-08-27T13:57:54.198669Z,09:57:54,2026-08-27T13:57:53Z,ES_SPX,gex_zero,7709.77,7713.55->7713.3,7734.06->7733.89,7703.81->7673.81,,7728.81->7648.72
2026-08-27T13:57:54.571980Z,09:57:54,2026-08-27T13:57:53Z,ES_SPX,gex_full,7709.77,7712.19->7712.98,7733.89->7723.81,7703.81->7673.81,,
2026-08-27T13:57:54.828362Z,09:57:54,2026-08-27T13:57:53Z,ES_SPX,gex_one,7709.77,7705.85->7848.55,7773.81->7853.81,,,
2026-08-27T13:57:55.176799Z,09:57:55,2026-08-27T13:57:54Z,NQ_NDX,gex_zero,29436.92,29509.88->29425.05,,29494.88->29364.88,,29344.6->29340.13
2026-08-27T13:57:55.437503Z,09:57:55,2026-08-27T13:57:54Z,NQ_NDX,gex_full,29436.92,29509.88->29548.94,,29494.88->29364.88,,
2026-08-27T13:57:55.775600Z,09:57:55,2026-08-27T13:57:55Z,NQ_NDX,gex_one,29433.53,,30064.88->29864.88,,,
2026-08-27T13:58:56.068696Z,09:58:56,2026-08-27T13:58:54Z,ES_SPX,gex_zero,7712.5,,,,,7648.72->7728.81
2026-08-27T13:58:56.442213Z,09:58:56,2026-08-27T13:58:56Z,ES_SPX,gex_full,7712.53,7712.98->7713.3,7723.81->7733.81,,,
2026-08-27T13:58:57.246067Z,09:58:57,2026-08-27T13:58:57Z,NQ_NDX,gex_full,29455.01,29548.94->29425.05,,,,
2026-08-27T13:59:57.816502Z,09:59:57,2026-08-27T13:59:56Z,ES_SPX,gex_zero,7716.86,7713.3->7712.98,,7673.81->7703.81,,
2026-08-27T13:59:58.103727Z,09:59:58,2026-08-27T13:59:57Z,ES_SPX,gex_full,7716.85,7713.3->7712.61,7733.81->7733.89,7673.81->7703.81,,
2026-08-27T13:59:58.466435Z,09:59:58,2026-08-27T13:59:57Z,ES_SPX,gex_one,7716.85,7848.55->7706.31,7853.81->7773.81,,,
2026-08-27T13:59:58.752497Z,09:59:58,2026-08-27T13:59:58Z,NQ_NDX,gex_zero,29487.31,29425.05->29460.78,,,,29340.13->29342.8
2026-08-27T13:59:59.076902Z,09:59:59,2026-08-27T13:59:58Z,NQ_NDX,gex_full,29487.31,29425.05->29549.85,,,,
