symbol,ticker,decision_utc,decision_et,campaign_id,action,policy,reason_code,waypoint_id,phase_before,phase_after,pos_before,pos_after,evidence_source,evidence_kind,evidence_side,price,category,gex_record_id,gex_recorded_utc,gex_recorded_et,gex_api_as_of_utc,gex_spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,nearest_gex,nearest_gex_distance
ES,ES_SPX,2026-08-27T13:54:03.010286Z,09:54:03,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7723.75,gex_zero,140,2026-08-27T13:53:46.283341Z,09:53:46,2026-08-27T13:53:45Z,7723.59,7712.19,7743.55,7703.81,7753.81,7728.81,31723.409,11077.512,oi_put_wall,-5.0600000000004
ES,ES_SPX,2026-08-27T13:54:03.010286Z,09:54:03,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7723.75,gex_full,141,2026-08-27T13:53:46.746358Z,09:53:46,2026-08-27T13:53:45Z,7723.59,7711.76,7743.72,7703.81,7913.81,7513.81,33497.912,32287.464,zero_gamma,11.989999999999782
ES,ES_SPX,2026-08-27T13:54:03.010286Z,09:54:03,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7723.75,gex_one,142,2026-08-27T13:53:47.073221Z,09:53:47,2026-08-27T13:53:45Z,7723.59,7706.31,7773.81,7673.81,7743.81,7663.81,1394.438,2987.555,zero_gamma,17.4399999999996
ES,ES_SPX,2026-08-27T13:55:45.530133Z,09:55:45,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7718.0,gex_zero,146,2026-08-27T13:54:48.234704Z,09:54:48,2026-08-27T13:54:47Z,7724.36,7712.61,7743.72,7703.81,7753.81,7728.81,33342.977,11282.646,zero_gamma,5.390000000000327
ES,ES_SPX,2026-08-27T13:55:45.530133Z,09:55:45,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7718.0,gex_full,147,2026-08-27T13:54:48.587657Z,09:54:48,2026-08-27T13:54:47Z,7724.36,7712.61,7743.72,7703.81,7913.81,7513.81,35293.542,33642.021,zero_gamma,5.390000000000327
ES,ES_SPX,2026-08-27T13:55:45.530133Z,09:55:45,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7718.0,gex_one,148,2026-08-27T13:54:48.899725Z,09:54:48,2026-08-27T13:54:47Z,7724.36,7705.85,7773.81,7673.81,7743.81,7663.81,1532.623,3219.854,zero_gamma,12.149999999999636
NQ,NQ_NDX,2026-08-27T14:01:16.042443Z,10:01:16,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29516.0,gex_zero,185,2026-08-27T14:01:00.859509Z,10:01:00,2026-08-27T14:01:00Z,29502.21,29461.22,29593.62,29363.62,29573.62,29339.12,921.935,1747.089,zero_gamma,54.779999999998836
NQ,NQ_NDX,2026-08-27T14:01:16.042443Z,10:01:16,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29516.0,gex_full,186,2026-08-27T14:01:01.227380Z,10:01:01,2026-08-27T14:01:00Z,29502.21,29461.96,29593.62,29363.62,29338.62,29663.62,627.18,4732.509,zero_gamma,54.04000000000087
NQ,NQ_NDX,2026-08-27T14:01:16.042443Z,10:01:16,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29516.0,gex_one,187,2026-08-27T14:01:01.488731Z,10:01:01,2026-08-27T14:01:00Z,29502.21,29093.62,30063.62,29063.62,29563.62,29238.62,27.008,1323.5,oi_call_wall,-47.61999999999898
ES,ES_SPX,2026-08-27T14:01:25.256428Z,10:01:25,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7717.0,gex_zero,182,2026-08-27T14:00:59.707829Z,10:00:59,2026-08-27T14:00:59Z,7717.33,7712.3,7733.58,7703.5,7753.5,7728.5,20544.621,8571.845,zero_gamma,4.699999999999818
ES,ES_SPX,2026-08-27T14:01:25.256428Z,10:01:25,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7717.0,gex_full,183,2026-08-27T14:00:59.997102Z,10:00:59,2026-08-27T14:00:59Z,7717.33,7711.89,7733.5,7703.5,7913.5,7513.5,21631.489,26989.104,zero_gamma,5.109999999999673
ES,ES_SPX,2026-08-27T14:01:25.256428Z,10:01:25,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailOwned,Demand,7717.0,gex_one,184,2026-08-27T14:01:00.374153Z,10:01:00,2026-08-27T14:01:00Z,7717.18,7706.0,7773.5,7673.5,7743.5,7663.5,791.317,1968.299,zero_gamma,11.0
NQ,NQ_NDX,2026-08-27T14:07:03.540124Z,10:07:03,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29508.5,gex_zero,215,2026-08-27T14:06:10.369651Z,10:06:10,2026-08-27T14:06:09Z,29554.54,29423.62,29593.62,29363.62,29573.62,29338.7,2752.608,2248.4,oi_call_wall,-65.11999999999898
NQ,NQ_NDX,2026-08-27T14:07:03.540124Z,10:07:03,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29508.5,gex_full,216,2026-08-27T14:06:10.740151Z,10:06:10,2026-08-27T14:06:09Z,29554.54,29551.95,29593.62,29363.62,29563.62,29163.62,2544.736,5481.414,zero_gamma,-43.45000000000073
NQ,NQ_NDX,2026-08-27T14:07:03.540124Z,10:07:03,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29508.5,gex_one,217,2026-08-27T14:06:11.089574Z,10:06:11,2026-08-27T14:06:09Z,29554.54,29093.62,30063.62,29063.62,29563.62,29238.62,139.522,1466.384,oi_call_wall,-55.11999999999898
NQ,NQ_NDX,2026-08-27T14:07:08.039280Z,10:07:08,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29517.25,gex_zero,215,2026-08-27T14:06:10.369651Z,10:06:10,2026-08-27T14:06:09Z,29554.54,29423.62,29593.62,29363.62,29573.62,29338.7,2752.608,2248.4,oi_call_wall,-56.36999999999898
NQ,NQ_NDX,2026-08-27T14:07:08.039280Z,10:07:08,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29517.25,gex_full,216,2026-08-27T14:06:10.740151Z,10:06:10,2026-08-27T14:06:09Z,29554.54,29551.95,29593.62,29363.62,29563.62,29163.62,2544.736,5481.414,zero_gamma,-34.70000000000073
NQ,NQ_NDX,2026-08-27T14:07:08.039280Z,10:07:08,nq-2026-08-27-long-orr-29480-29520,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29480-29520,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29517.25,gex_one,217,2026-08-27T14:06:11.089574Z,10:06:11,2026-08-27T14:06:09Z,29554.54,29093.62,30063.62,29063.62,29563.62,29238.62,139.522,1466.384,oi_call_wall,-46.36999999999898
ES,ES_SPX,2026-08-27T14:07:10.512919Z,10:07:10,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7713.0,gex_zero,212,2026-08-27T14:06:09.427323Z,10:06:09,2026-08-27T14:06:08Z,7721.76,7711.89,7743.5,7703.5,7753.5,7728.5,38820.026,10561.069,zero_gamma,1.1099999999996726
ES,ES_SPX,2026-08-27T14:07:10.512919Z,10:07:10,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7713.0,gex_full,213,2026-08-27T14:06:09.736514Z,10:06:09,2026-08-27T14:06:08Z,7721.76,7711.89,7743.5,7703.5,7813.5,7513.5,40687.588,33242.004,zero_gamma,1.1099999999996726
ES,ES_SPX,2026-08-27T14:07:10.512919Z,10:07:10,es-2026-08-27-long-orr-7716-7726,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,7713.0,gex_one,214,2026-08-27T14:06:10.114963Z,10:06:10,2026-08-27T14:06:08Z,7721.76,7706.0,7773.5,7673.5,7743.5,7663.5,1438.044,2905.172,zero_gamma,7.0
ES,ES_SPX,2026-08-27T14:07:53.518048Z,10:07:53,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,7717.5,gex_zero,218,2026-08-27T14:07:11.368895Z,10:07:11,2026-08-27T14:07:11Z,7713.72,7712.99,7743.5,7703.5,7753.5,7728.5,7789.527,6200.372,zero_gamma,4.510000000000218
ES,ES_SPX,2026-08-27T14:07:53.518048Z,10:07:53,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,7717.5,gex_full,219,2026-08-27T14:07:11.700669Z,10:07:11,2026-08-27T14:07:11Z,7713.72,7712.67,7743.5,7703.5,7813.5,7513.5,9053.547,26114.523,zero_gamma,4.829999999999927
ES,ES_SPX,2026-08-27T14:07:53.518048Z,10:07:53,es-2026-08-27-long-orr-7716-7726,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,7717.5,gex_one,220,2026-08-27T14:07:12.017952Z,10:07:12,2026-08-27T14:07:11Z,7713.72,7637.3,7773.5,7538.5,7743.5,7663.5,975.774,1550.447,oi_call_wall,-26.0
NQ,NQ_NDX,2026-08-27T14:14:41.305289Z,10:14:41,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,BuildTrial,Ready,2,0,LevelLedger,RailFailed,Demand,29569.0,gex_zero,263,2026-08-27T14:14:26.157603Z,10:14:26,2026-08-27T14:14:25Z,29586.0,29423.62,29593.62,29363.62,29573.62,29343.62,4791.154,2609.549,oi_call_wall,-4.619999999998981
NQ,NQ_NDX,2026-08-27T14:14:41.305289Z,10:14:41,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,BuildTrial,Ready,2,0,LevelLedger,RailFailed,Demand,29569.0,gex_full,264,2026-08-27T14:14:26.489065Z,10:14:26,2026-08-27T14:14:25Z,29586.0,29553.1,29593.62,29363.62,29563.62,29163.62,4635.819,6058.549,oi_call_wall,5.380000000001019
NQ,NQ_NDX,2026-08-27T14:14:41.305289Z,10:14:41,nq-2026-08-27-long-orr-29480-29520,Flatten,build_trial,risk_anchor_failed,,BuildTrial,Ready,2,0,LevelLedger,RailFailed,Demand,29569.0,gex_one,265,2026-08-27T14:14:26.760939Z,10:14:26,2026-08-27T14:14:26Z,29583.03,29093.62,30063.62,29063.62,29563.62,29238.62,191.285,1546.718,oi_call_wall,5.380000000001019
NQ,NQ_NDX,2026-08-27T14:57:18.901127Z,10:57:18,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29584.75,gex_zero,511,2026-08-27T14:56:45.007153Z,10:56:45,2026-08-27T14:56:44Z,29567.79,29525.37,29612.12,29262.12,29572.12,29337.21,6018.882,2734.386,oi_call_wall,12.630000000001019
NQ,NQ_NDX,2026-08-27T14:57:18.901127Z,10:57:18,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29584.75,gex_full,512,2026-08-27T14:56:45.324657Z,10:56:45,2026-08-27T14:56:44Z,29567.79,29551.61,29612.12,29462.12,29562.12,29162.12,6036.926,6323.038,oi_call_wall,22.63000000000102
NQ,NQ_NDX,2026-08-27T14:57:18.901127Z,10:57:18,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,counter_claim_failed_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailFailed,Supply,29584.75,gex_one,513,2026-08-27T14:56:45.591452Z,10:56:45,2026-08-27T14:56:44Z,29567.79,29122.12,30062.12,29062.12,29562.12,29237.12,305.808,1688.672,oi_call_wall,22.63000000000102
NQ,NQ_NDX,2026-08-27T15:03:42.146469Z,11:03:42,nq-2026-08-27-long-postib-uppernode-29572-29612,Reduce,evaluate_zone,evaluate_opposite_ownership,evaluate-29608-29616,ProbeOpen,Ready,2,0,LevelLedger,RailOwned,Supply,29595.25,gex_zero,547,2026-08-27T15:02:56.271488Z,11:02:56,2026-08-27T15:02:55Z,29608.7,29510.63,29613.03,29463.03,29573.03,29338.03,9071.658,3020.139,call_wall,-17.779999999998836
