symbol,first_line,last_line,first_utc,last_utc,first_et,last_et,count,campaign_id,phase_before,phase_after,action,policy,reason_code,waypoint_id,evidence_source,evidence_kind,evidence_side,first_price,min_price,max_price,first_pos_before,last_pos_after,first_evidence_id,last_evidence_id
ES,6815,6815,2026-08-27T13:54:03.010286Z,2026-08-27T13:54:03.010286Z,09:54:03,09:54:03,1,es-2026-08-27-long-orr-7716-7726,Ready,ProbeOpen,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,LevelLedger,RailOwned,Demand,7723.75,7723.75,7723.75,0,2,live-ll-25-RailOwned-639234356429891151,live-ll-25-RailOwned-639234356429891151
ES,6820,6820,2026-08-27T13:54:03.401264Z,2026-08-27T13:54:03.401264Z,09:54:03,09:54:03,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailOwned,Demand,7723.75,7723.75,7723.75,2,2,live-ll-26-RailOwned-639234356429891151,live-ll-26-RailOwned-639234356429891151
ES,6837,6858,2026-08-27T13:54:08.497699Z,2026-08-27T13:54:38.997132Z,09:54:08,09:54:38,7,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7723.625,7723.125,7724.625,2,2,quote-639234356482384489,quote-639234356787739590
ES,6862,6862,2026-08-27T13:54:44.247210Z,2026-08-27T13:54:44.247210Z,09:54:44,09:54:44,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailHeld,Demand,7724.0,7724.0,7724.0,2,2,live-ll-26-RailHeld-639234356842416885,live-ll-26-RailHeld-639234356842416885
ES,6866,6907,2026-08-27T13:54:49.499080Z,2026-08-27T13:55:41.008329Z,09:54:49,09:55:41,11,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7723.75,7716.625,7724.125,2,2,quote-639234356892366672,quote-639234357407831405
ES,6911,6911,2026-08-27T13:55:45.530133Z,2026-08-27T13:55:45.530133Z,09:55:45,09:55:45,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,Ready,Flatten,build_trial,risk_anchor_failed,,LevelLedger,RailFailed,Demand,7718.0,7718.0,7718.0,2,0,live-ll-26-RailFailed-639234357454973229,live-ll-26-RailFailed-639234357454973229
ES,6975,6975,2026-08-27T14:01:25.256428Z,2026-08-27T14:01:25.256428Z,10:01:25,10:01:25,1,es-2026-08-27-long-orr-7716-7726,Ready,ProbeOpen,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,LevelLedger,RailOwned,Demand,7717.0,7717.0,7717.0,0,2,live-ll-30-RailOwned-639234360852522854,live-ll-30-RailOwned-639234360852522854
ES,6979,7102,2026-08-27T14:01:25.384896Z,2026-08-27T14:03:59.998949Z,10:01:25,10:03:59,31,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7717.0,7716.375,7720.875,2,2,quote-639234360850096733,quote-639234362397700586
ES,7106,7106,2026-08-27T14:04:05.004391Z,2026-08-27T14:04:05.004391Z,10:04:05,10:04:05,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Supply,7721.25,7721.25,7721.25,2,2,live-ll-27-RailTested-639234362450013026,live-ll-27-RailTested-639234362450013026
ES,7111,7202,2026-08-27T14:04:10.272470Z,2026-08-27T14:06:19.017278Z,10:04:10,10:06:19,26,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7720.625,7718.375,7722.125,2,2,quote-639234362500108025,quote-639234363787710724
ES,7208,7208,2026-08-27T14:06:24.056508Z,2026-08-27T14:06:24.056508Z,10:06:24,10:06:24,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Demand,7718.75,7718.75,7718.75,2,2,live-ll-32-RailTested-639234363840057806,live-ll-32-RailTested-639234363840057806
