case_id,probe,time,action,range,current_price,flow_grade,replenish,runway_points,path_consumed_pct,future_mfe,future_mae,future_target_time,raw_call,balance_overlay_call
es_20260828_1345_short_7726_control,sponsor_stack,13:50:09,HOLD,727-729.25,7724.5,replenished,1.021,8.0,15.8,12.25,2.75,14:48:56,sponsor_stack_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,sponsor_stack,14:04:44,HOLD,727-729.25,7724.5,replenished,1.082,8.0,15.8,12.25,2.25,14:48:56,sponsor_stack_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,sponsor_stack,14:05:53,HOLD,727-729.25,7724.5,replenished,1.041,8.0,15.8,12.25,2.25,14:48:56,sponsor_stack_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,sponsor_stack,14:13:15,HOLD,727-729.25,7724.5,replenished,1.053,8.0,15.8,12.25,0.75,14:48:56,sponsor_stack_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,13:50:09,HOLD,727-729.25,7724.5,replenished,1.021,8.0,15.8,12.25,2.75,14:48:56,add_preserve_root,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,14:04:44,HOLD,727-729.25,7724.5,replenished,1.082,8.0,15.8,12.25,2.25,14:48:56,add_preserve_root,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,14:05:53,HOLD,727-729.25,7724.5,replenished,1.041,8.0,15.8,12.25,2.25,14:48:56,add_preserve_root,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,14:13:15,HOLD,727-729.25,7724.5,replenished,1.053,8.0,15.8,12.25,0.75,14:48:56,add_preserve_root,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,13:52:57,HOLD,727-729.25,7724.5,replenished,1.08,8.0,15.8,12.25,2.75,14:48:56,add_review,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,holdroot_basic,14:11:30,HOLD,727-729.25,7724.5,replenished,1.068,8.0,15.8,12.25,2.25,14:48:56,add_review,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:23:34,OWNED,723-724.50,7719.25,depleted,0.9,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:23:35,CONSUMED,721.75-725,7719.25,depleted,0.874,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:23:35,OWNED,722-724,7719.25,depleted,0.885,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:23:35,CONSUMED,721.50-723.25,7719.25,depleted,0.956,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:27:47,HOLD,723-724.50,7720.5,depleted,1.011,4.0,57.9,8.25,4.25,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:29:37,HOLD,722.25-729.25,7719.75,depleted,1.001,3.25,65.8,7.5,5.0,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:29:38,HOLD,721.75-725,7719.25,depleted,0.996,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:29:38,HOLD,722-724,7719.25,depleted,1.01,2.75,71.1,7.0,5.5,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:30:00,HOLD,721.50-723.25,7719.0,depleted,0.978,2.5,73.7,6.75,5.75,14:48:56,tail_reclaim_harvest_not_add,suppress_add_value_churn_root_only
es_20260828_1345_short_7726_control,tail_reclaim,14:48:38,OWNED,721-724,7718.5,depleted,0.581,2.0,78.9,6.25,4.75,14:48:56,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,14:48:43,OWNED,720.75-721.25,7718.25,depleted,0.542,1.75,81.6,6.0,5.0,14:48:56,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,14:49:00,CONSUMED,719.50-722.75,7717.0,depleted,1.0,0.5,94.7,4.75,6.25,14:49:34,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,14:50:36,OWNED,716.75-719.50,7714.25,depleted,0.926,-2.25,100.0,2.0,9.0,14:50:36,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,14:55:01,HOLD,716.75-719.50,7713.75,depleted,0.911,-2.75,100.0,1.0,9.5,14:55:01,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,15:00:26,HOLD,716.75-719.50,7714.25,replenished,1.171,-2.25,100.0,0.5,9.0,15:00:26,tail_reclaim_harvest_not_add,late_extension_no_new_leverage
es_20260828_1345_short_7726_control,tail_reclaim,14:32:46,HOLD,722.25-729.25,7719.75,replenished,1.162,3.25,65.8,7.5,5.0,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:33:00,HOLD,722-724,7719.5,replenished,1.073,3.0,68.4,7.25,5.25,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:36:19,HOLD,724.75-726.25,7722.25,replenished,1.246,5.75,39.5,10.0,1.0,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:37:44,HOLD,724-725.75,7721.5,replenished,1.155,5.0,47.4,9.25,1.75,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:37:54,HOLD,723.75-725.75,7721.25,replenished,1.07,4.75,50.0,9.0,2.0,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:37:54,HOLD,723.75-725.75,7721.25,replenished,1.07,4.75,50.0,9.0,2.0,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:37:59,HOLD,723.50-725,7721.0,replenished,1.013,4.5,52.6,8.75,2.25,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:38:01,HOLD,723.25-726.75,7720.75,replenished,1.021,4.25,55.3,8.5,2.5,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:38:02,HOLD,723-724.50,7720.5,depleted,0.964,4.0,57.9,8.25,2.75,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
es_20260828_1345_short_7726_control,tail_reclaim,14:38:06,HOLD,722.25-729.25,7719.75,depleted,0.944,3.25,65.8,7.5,3.5,14:48:56,tail_reclaim_harvest_not_add,allow_probe_policy_to_decide
