case_id,time,side,action,source,range,current_price,score
es_20260828_1345_short_7726_control,13:45:45,supply,FORM,candidate,719.50-719.75,7719.75,8.13
es_20260828_1345_short_7726_control,13:46:08,supply,TEST,demand_consumed,722.25-729.25,7721.5,30.334
es_20260828_1345_short_7726_control,13:46:13,supply,TEST,demand_consumed,722.75-723,7721.75,8.153
es_20260828_1345_short_7726_control,13:46:19,demand,FORM,candidate,721.75-722.75,7722.75,8.408
es_20260828_1345_short_7726_control,13:46:23,demand,OWNED,demand_lean,719.25-719.75,7723.25,22.343
es_20260828_1345_short_7726_control,13:46:23,demand,CONSUMED,supply_consumed,719.50-719.75,7723.25,8.13
es_20260828_1345_short_7726_control,13:46:24,supply,FAIL,demand_consumed,718.50-721.50,7723.5,17.472
es_20260828_1345_short_7726_control,13:46:31,demand,CONSUMED,supply_consumed,717-721,7723.5,13.188
es_20260828_1345_short_7726_control,13:46:36,supply,FAIL,demand_consumed,719-722.75,7723.75,28.688
es_20260828_1345_short_7726_control,13:46:56,supply,FAIL,demand_consumed,722.75-723,7723.75,8.153
es_20260828_1345_short_7726_control,13:47:58,demand,TEST,supply_consumed,717-721,7721.75,13.188
es_20260828_1345_short_7726_control,13:48:11,demand,HOLD,supply_consumed,717-721,7723.5,13.188
es_20260828_1345_short_7726_control,13:48:13,supply,FORM,candidate,723-723.75,7723.75,8.168
es_20260828_1345_short_7726_control,13:49:17,supply,TEST,supply_lean,726-733.75,7725.0,69.016
es_20260828_1345_short_7726_control,13:49:34,supply,TEST,supply_lean,727-729.25,7726.0,32.922
es_20260828_1345_short_7726_control,13:50:09,supply,HOLD,supply_lean,727-729.25,7724.5,32.922
es_20260828_1345_short_7726_control,13:50:19,supply,FORM,candidate,724.50-724.75,7724.5,8.264
es_20260828_1345_short_7726_control,13:51:01,supply,HOLD,supply_lean,726-733.75,7723.5,69.016
es_20260828_1345_short_7726_control,13:51:42,supply,TEST,supply_lean,726-733.75,7725.0,69.016
es_20260828_1345_short_7726_control,13:52:40,supply,TEST,supply_lean,727-729.25,7726.0,32.922
