case_id,window,bin,volume,volume_pct,delta,trades,seconds
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7712.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7712.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7713.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7713.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7714.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7714.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7715.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7715.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7716.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7716.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7717.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7717.5,32.0,0.05,-8.0,28,3
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7718.0,639.0,0.97,-19.0,544,21
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7718.5,955.0,1.45,3.0,769,46
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7719.0,2295.0,3.49,-111.0,1818,106
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7719.5,2543.0,3.86,-15.0,1995,119
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7720.0,2711.0,4.12,-109.0,2185,117
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7720.5,3113.0,4.73,-9.0,2517,145
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7721.0,2937.0,4.46,-99.0,2398,142
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7721.5,3559.0,5.41,133.0,2733,149
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7722.0,2799.0,4.25,335.0,2239,130
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7722.5,3622.0,5.5,66.0,2939,184
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7723.0,6069.0,9.22,-25.0,5032,330
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7723.5,7449.0,11.31,267.0,6072,372
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7724.0,6125.0,9.3,123.0,5030,338
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7724.5,6997.0,10.63,217.0,5412,336
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7725.0,4248.0,6.45,-84.0,3489,214
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7725.5,4356.0,6.62,-18.0,3440,190
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7726.0,4440.0,6.74,650.0,3212,175
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7726.5,774.0,1.18,188.0,624,39
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7727.0,174.0,0.26,32.0,133,3
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7727.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7728.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7728.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7729.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7729.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7730.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7730.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7731.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7731.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7732.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7732.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7733.0,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7733.5,0.0,0.0,0.0,0,0
es_20260828_1345_short_7726_control,13:45:00-14:30:00,7734.0,0.0,0.0,0.0,0,0
