case_id,time,action,band_id,side,source,range,min_price,max_price,current_price,score,flow_source,consumed,pulled,added,paid_share,replenish,flow_grade,runway_points,path_consumed_pct,opposing_fail_count_3m,opposing_fail_score_3m,opposing_fail_recent,opposing_weak_contact_count_3m,opposing_weak_contact_recent,future_mfe,future_mae,future_target_time,call
es_20260827_1130_long_7728,11:40:17,HOLD,19,demand,demand_lean,727.50-728.50,7727.5,7728.5,7731.0,8.91,latest_test,0.0,115.0,207.0,0.0,1.8,replenished,12.0,20.0,0,0,,0,,18.75,5.75,12:34:28,add_review
es_20260827_1130_long_7728,11:41:36,HOLD,18,demand,supply_consumed,725.75-730.75,7725.75,7730.75,7733.25,26.284,event_forward,0.0,267.0,231.0,0.0,0.865,depleted,9.75,35.0,0,0,,0,,16.5,8.0,12:34:28,reject_depleted
es_20260827_1130_long_7728,11:41:37,HOLD,17,demand,demand_lean,723-731,7723.0,7731.0,7733.75,38.363,event_forward,0.0,309.0,311.0,0.0,1.006,depleted,9.25,38.3,0,0,,0,,16.0,8.5,12:34:28,reject_depleted
es_20260827_1130_long_7728,11:42:26,TEST,17,demand,demand_lean,723-731,7723.0,7731.0,7732.0,38.363,latest_test,966.0,2359.0,2874.0,0.291,0.864,depleted,11.0,26.7,0,0,,1,11:41:42 735.25-737,17.75,6.75,12:34:28,watch_contact
es_20260827_1130_long_7728,11:42:31,TEST,18,demand,supply_consumed,725.75-730.75,7725.75,7730.75,7731.75,26.284,latest_test,1046.0,2606.0,3245.0,0.286,0.889,depleted,11.25,25.0,0,0,,1,11:41:42 735.25-737,18.0,6.5,12:34:28,watch_contact
es_20260827_1130_long_7728,11:43:20,TEST,19,demand,demand_lean,727.50-728.50,7727.5,7728.5,7729.5,8.91,latest_test,1131.0,4325.0,5216.0,0.207,0.956,depleted,13.5,10.0,0,0,,1,11:41:42 735.25-737,20.25,4.25,12:34:28,watch_contact
es_20260827_1130_long_7728,11:43:22,TEST,20,demand,supply_consumed,726.25-728,7726.25,7728.0,7729.0,24.574,latest_test,681.0,3104.0,3791.0,0.18,1.002,depleted,14.0,6.7,0,0,,1,11:41:42 735.25-737,20.75,3.75,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:02,TEST,23,demand,demand_lean,725.75-727.75,7725.75,7727.75,7728.75,8.076,latest_test,769.0,4297.0,5050.0,0.152,0.997,depleted,14.25,5.0,0,0,,1,11:41:42 735.25-737,21.0,3.5,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:03,TEST,16,demand,supply_consumed,724.50-727,7724.5,7727.0,7727.5,30.805,latest_test,0.0,350.0,458.0,0.0,1.309,replenished,15.5,0.0,0,0,,1,11:41:42 735.25-737,22.25,2.25,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:03,TEST,21,demand,demand_lean,725-727.50,7725.0,7727.5,7727.5,17.58,latest_test,348.0,2255.0,2637.0,0.134,1.013,replenished,15.5,0.0,0,0,,1,11:41:42 735.25-737,22.25,2.25,12:34:28,watch_contact
