case_id,source_probe,time,call,action,range,current_price,root_price,side,root_to_event_points,replenish,runway_points,path_consumed_pct,corridor_lo,corridor_hi,corridor_points,separator_call,separator_bin,separator_lo,separator_hi,local_vol,local_delta,local_trades,local_seconds,local_median_vol,local_median_ratio,local_neighbor_ratio,left_peak_vol,right_peak_vol,day_vol,day_median_vol,day_ratio,day_percentile_le,event_gap_separator_call,zz_time,zz_range,pre_zz_tail_time,pre_zz_tail_price,event_gap_corridor_lo,event_gap_corridor_hi,event_gap_corridor_points,event_gap_separator_bin,event_gap_separator_lo,event_gap_separator_hi,event_gap_local_vol,event_gap_local_delta,event_gap_local_trades,event_gap_local_seconds,event_gap_local_median_vol,event_gap_local_median_ratio,event_gap_local_neighbor_ratio,event_gap_left_peak_vol,event_gap_right_peak_vol,event_gap_day_vol,event_gap_day_median_vol,event_gap_day_ratio,event_gap_day_percentile_le
es_20260827_1130_long_7728,sponsor_stack,11:47:42,sponsor_stack_add,HOLD,723.50-725.75,7728.25,7728.0,long,0.25,1.06,14.75,1.7,7728.0,7728.25,0.25,no_corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_20260827_1130_long_7728,sponsor_stack,11:49:50,stack_watch_retest_only,HOLD,723.50-725.75,7728.25,7728.0,long,0.25,1.102,14.75,1.7,7728.0,7728.25,0.25,no_corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_20260827_1130_long_7728,tail_reclaim,11:51:54,tail_reclaim_reject_depleted,OWNED,725.25-732,7735.0,7728.0,long,7.0,0.747,8.0,46.7,7728.0,7735.0,7.0,weak_local_separator,7733.5,7733.5,7734.0,671.0,253.0,454,23,1326.0,0.506,0.44,3611.0,1525.0,14678.0,16234.0,0.904,0.333,ranges_overlap,11:44:08,7730.5-7736.25,11:41:37,7733.75,,,,,,,,,,,,,,,,,,,
es_20260827_1130_long_7728,tail_reclaim,11:52:57,tail_reclaim_harvest_not_add,HOLD,726.50-734.75,7737.25,7728.0,long,9.25,0.584,5.75,61.7,7728.0,7737.25,9.25,weak_local_separator,7736.0,7736.0,7736.5,199.0,61.0,133,6,1148.0,0.173,0.377,3611.0,528.0,16749.0,16564.0,1.011,0.579,ranges_overlap,11:44:08,7730.5-7736.25,11:41:37,7733.75,,,,,,,,,,,,,,,,,,,
es_20260827_1130_long_7728,tail_reclaim,11:53:03,tail_reclaim_harvest_not_add,CONSUMED,725.25-734.50,7737.5,7728.0,long,9.5,0.62,5.5,63.3,7728.0,7737.5,9.5,weak_local_separator,7736.0,7736.0,7736.5,199.0,61.0,133,6,1142.0,0.174,0.377,3611.0,528.0,16749.0,16399.0,1.021,0.6,ranges_overlap,11:44:08,7730.5-7736.25,11:41:37,7733.75,,,,,,,,,,,,,,,,,,,
es_20260827_1130_long_7728,tail_reclaim,11:53:03,tail_reclaim_harvest_not_add,CONSUMED,732-734.50,7737.5,7728.0,long,9.5,0.914,5.5,63.3,7728.0,7737.5,9.5,weak_local_separator,7736.0,7736.0,7736.5,199.0,61.0,133,6,1142.0,0.174,0.377,3611.0,528.0,16749.0,16399.0,1.021,0.6,ranges_overlap,11:44:08,7730.5-7736.25,11:41:37,7733.75,,,,,,,,,,,,,,,,,,,
es_20260827_1330_short_7748,sponsor_stack,13:44:39,sponsor_stack_add,HOLD,751.25-753,7748.5,7748.75,short,0.25,1.031,19.0,1.3,7748.5,7748.75,0.25,no_corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_20260827_1330_short_7748,sponsor_stack,13:58:28,stack_watch_no_renewal,OWNED,745-747.25,7743.0,7748.75,short,5.75,1.091,13.5,29.9,7743.0,7748.75,5.75,weak_local_separator,7747.5,7747.5,7748.0,730.0,-140.0,620,28,1716.5,0.425,0.477,5821.0,1532.0,3082.0,6640.0,0.464,0.167,,,,,,,,,,,,,,,,,,,,,,,,
es_20260827_1330_short_7748,tail_reclaim,14:01:13,tail_reclaim_add,HOLD,745-747.25,7742.5,7748.75,short,6.25,1.101,13.0,32.5,7742.5,7748.75,6.25,weak_local_separator,7747.5,7747.5,7748.0,730.0,-140.0,620,28,1901.0,0.384,0.477,6496.0,1532.0,3082.0,6989.0,0.441,0.154,weak_local_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7742.75,7745.0,2.25,7743.0,7743.0,7743.5,1472.0,-186.0,1154,49,2806.0,0.525,5.472,269.0,4935.0,13154.0,10651.0,1.235,1.0
es_20260827_1330_short_7748,tail_reclaim,14:01:29,tail_reclaim_reject_depleted,CONSUMED,743.50-745.25,7741.5,7748.75,short,7.25,0.844,12.0,37.7,7741.5,7748.75,7.25,weak_local_separator,7742.5,7742.5,7743.0,428.0,-74.0,363,14,1532.0,0.279,0.707,605.0,6496.0,17174.0,7566.0,2.27,0.867,no_corridor,14:00:09,7741-7742.75,13:58:28,7743.0,7742.75,7743.5,0.75,,,,,,,,,,,,,,,,
es_20260827_1330_short_7748,tail_reclaim,14:01:29,tail_reclaim_reject_depleted,OWNED,743.75-745.25,7741.5,7748.75,short,7.25,0.813,12.0,37.7,7741.5,7748.75,7.25,weak_local_separator,7742.5,7742.5,7743.0,428.0,-74.0,363,14,1532.0,0.279,0.707,605.0,6496.0,17174.0,7566.0,2.27,0.867,no_lvn_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7742.75,7743.75,1.0,7743.0,7743.0,7743.5,1472.0,-186.0,1154,49,1472.0,1.0,5.007,294.0,1907.0,13154.0,12660.0,1.039,1.0
es_20260827_1330_short_7748,tail_reclaim,14:10:55,tail_reclaim_harvest_not_add,OWNED,736.75-739.75,7734.25,7748.75,short,14.5,1.143,4.75,75.3,7734.25,7748.75,14.5,local_lvn_separator,7740.5,7740.5,7741.0,90.0,-84.0,66,2,1502.0,0.06,0.019,4717.0,6496.0,10996.0,12625.0,0.871,0.433,weak_local_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7739.75,7741.0,1.25,7740.5,7740.5,7741.0,90.0,-84.0,66,2,283.0,0.318,0.596,956.0,151.0,10996.0,8909.5,1.234,1.0
es_20260827_1330_short_7748,tail_reclaim,14:12:34,tail_reclaim_harvest_not_add,HOLD,736.75-739.75,7734.25,7748.75,short,14.5,1.261,4.75,75.3,7734.25,7748.75,14.5,local_lvn_separator,7740.5,7740.5,7741.0,90.0,-84.0,66,2,1769.5,0.051,0.019,4717.0,6496.0,10996.0,12625.0,0.871,0.433,weak_local_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7739.75,7741.0,1.25,7740.5,7740.5,7741.0,90.0,-84.0,66,2,283.0,0.318,0.596,956.0,151.0,10996.0,8909.5,1.234,1.0
es_20260827_1330_short_7748,tail_reclaim,14:12:45,tail_reclaim_harvest_not_add,CONSUMED,736.25-739.25,7733.75,7748.75,short,15.0,1.041,4.25,77.9,7733.75,7748.75,15.0,local_lvn_separator,7740.5,7740.5,7741.0,90.0,-84.0,66,2,1671.0,0.054,0.019,4717.0,6496.0,10996.0,12660.0,0.869,0.419,weak_local_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7739.25,7741.0,1.75,7740.5,7740.5,7741.0,90.0,-84.0,66,2,415.0,0.217,0.596,2031.0,151.0,10996.0,10494.0,1.048,1.0
es_20260827_1330_short_7748,tail_reclaim,14:12:45,tail_reclaim_harvest_not_add,CONSUMED,736.25-737.25,7733.75,7748.75,short,15.0,1.085,4.25,77.9,7733.75,7748.75,15.0,local_lvn_separator,7740.5,7740.5,7741.0,90.0,-84.0,66,2,1671.0,0.054,0.019,4717.0,6496.0,10996.0,12660.0,0.869,0.419,weak_local_separator,14:00:09,7741-7742.75,13:58:28,7743.0,7737.25,7741.0,3.75,7740.5,7740.5,7741.0,90.0,-84.0,66,2,1671.0,0.054,0.596,4717.0,151.0,10996.0,12685.0,0.867,0.444
es_20260828_1120_short_7780,sponsor_stack,11:23:44,stack_watch_retest_only,HOLD,778.25-781.75,7775.75,7780.0,short,4.25,1.032,35.75,10.6,7775.75,7780.0,4.25,weak_local_separator,7778.0,7778.0,7778.5,0.0,0.0,0,0,588.0,0.0,1.0,773.0,0.0,11328.0,6585.5,1.72,0.9,,,,,,,,,,,,,,,,,,,,,,,,
es_20260828_1120_short_7780,sponsor_stack,11:31:32,stack_watch_no_renewal,OWNED,778.50-779.50,7776.5,7780.0,short,3.5,1.022,36.5,8.8,7776.5,7780.0,3.5,no_lvn_separator,7779.0,7779.0,7779.5,1787.0,225.0,1388,40,1856.5,0.963,1.047,4277.0,1707.0,6985.0,8132.5,0.859,0.5,,,,,,,,,,,,,,,,,,,,,,,,
es_20260828_1120_short_7780,sponsor_stack,11:34:09,sponsor_stack_add,HOLD,778.25-781.75,7775.75,7780.0,short,4.25,1.135,35.75,10.6,7775.75,7780.0,4.25,no_lvn_separator,7779.0,7779.0,7779.5,1787.0,225.0,1388,40,2352.0,0.76,1.047,4951.0,1707.0,6985.0,6585.5,1.061,0.6,,,,,,,,,,,,,,,,,,,,,,,,
es_20260828_1120_short_7780,sponsor_stack,11:34:09,sponsor_stack_add,HOLD,778.50-779.50,7775.75,7780.0,short,4.25,1.198,35.75,10.6,7775.75,7780.0,4.25,no_lvn_separator,7779.0,7779.0,7779.5,1787.0,225.0,1388,40,2352.0,0.76,1.047,4951.0,1707.0,6985.0,6585.5,1.061,0.6,,,,,,,,,,,,,,,,,,,,,,,,
