case_id,call,count
es_20260827_1130_long_7728,holdroot_no_add_root_not_onside,1
es_20260827_1130_long_7728,reject_depleted_contact,10
es_20260827_1130_long_7728,reject_low_runway,2
es_20260827_1130_long_7728,scale_out_zone,9
es_20260827_1130_long_7728,sponsor_stack_add,1
es_20260827_1130_long_7728,stack_watch_retest_only,1
es_20260827_1130_long_7728,watch_stack_before_root_cushion,1
es_20260827_1330_short_7748,holdroot_no_add_root_not_onside,1
es_20260827_1330_short_7748,holdroot_no_add_shallow_stack,1
es_20260827_1330_short_7748,reject_depleted_contact,7
es_20260827_1330_short_7748,scale_out_zone,22
es_20260827_1330_short_7748,sponsor_stack_add,1
es_20260827_1330_short_7748,stack_watch_no_renewal,1
es_20260827_1330_short_7748,watch_stack_before_root_cushion,1
es_20260828_1120_short_7780,mature_path_hold_only,3
es_20260828_1120_short_7780,reject_depleted_contact,12
es_20260828_1120_short_7780,scale_out_zone,16
es_20260828_1120_short_7780,sponsor_stack_add,4
es_20260828_1120_short_7780,sponsor_stack_add_reduced,2
es_20260828_1120_short_7780,stack_watch_no_renewal,1
es_20260828_1120_short_7780,stack_watch_retest_only,2
