case_id,time,action,band_id,side,source,family,range,current_price,score,flow_source,flow_grade,replenish,paid_share,root_cushion_points,onside,runway_points,path_consumed_pct,stack_depth,stack_direct,stack_lean,stack_replenished,stack_score,stack_recent,renewal_kind,same_side_reestablish_recent,opposing_fail_count_3m,opposing_fail_score_3m,opposing_fail_recent,opposing_weak_contact_count_3m,opposing_weak_contact_recent,future_mfe,future_mae,future_target_time,call
es_20260827_1130_long_7728,11:40:17,HOLD,19,demand,demand_lean,same_side_lean,727.50-728.50,7731.0,8.91,latest_test,replenished,1.8,0.0,0.0,True,12.0,20.0,5,3,2,4,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;17:same_side_lean:TEST:7723-7731;18:direct_consumption:TEST:7725.75-7730.75;19:same_side_lean:HOLD:7727.5-7728.5,held_after_test,,0,0,,0,,18.75,5.75,12:34:28,watch_stack_before_root_cushion
es_20260827_1130_long_7728,11:41:36,HOLD,18,demand,supply_consumed,direct_consumption,725.75-730.75,7733.25,26.284,event_forward,depleted,0.865,0.0,5.25,True,9.75,35.0,5,3,2,3,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;17:same_side_lean:TEST:7723-7731;19:same_side_lean:HOLD:7727.5-7728.5;18:direct_consumption:HOLD:7725.75-7730.75,none,,0,0,,0,,16.5,8.0,12:34:28,reject_depleted_contact
es_20260827_1130_long_7728,11:41:37,HOLD,17,demand,demand_lean,same_side_lean,723-731,7733.75,38.363,event_forward,depleted,1.006,0.0,5.25,True,9.25,38.3,5,3,2,2,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;19:same_side_lean:HOLD:7727.5-7728.5;18:direct_consumption:HOLD:7725.75-7730.75;17:same_side_lean:HOLD:7723-7731,none,,0,0,,0,,16.0,8.5,12:34:28,reject_depleted_contact
es_20260827_1130_long_7728,11:42:26,TEST,17,demand,demand_lean,same_side_lean,723-731,7732.0,38.363,latest_test,depleted,0.864,0.291,7.0,True,11.0,26.7,5,3,2,2,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;19:same_side_lean:HOLD:7727.5-7728.5;18:direct_consumption:HOLD:7725.75-7730.75;17:same_side_lean:TEST:7723-7731,opposition_depleted,,0,0,,1,11:41:42 735.25-737,17.75,6.75,12:34:28,watch_contact
es_20260827_1130_long_7728,11:42:31,TEST,18,demand,supply_consumed,direct_consumption,725.75-730.75,7731.75,26.284,latest_test,depleted,0.889,0.286,7.0,True,11.25,25.0,5,3,2,2,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;19:same_side_lean:HOLD:7727.5-7728.5;17:same_side_lean:TEST:7723-7731;18:direct_consumption:TEST:7725.75-7730.75,opposition_depleted,,0,0,,1,11:41:42 735.25-737,18.0,6.5,12:34:28,watch_contact
es_20260827_1130_long_7728,11:43:20,TEST,19,demand,demand_lean,same_side_lean,727.50-728.50,7729.5,8.91,latest_test,depleted,0.956,0.207,7.0,True,13.5,10.0,5,3,2,1,209.91,22:direct_consumption:TEST:7726.5-7734.75;25:direct_consumption:TEST:7729.25-7733.25;17:same_side_lean:TEST:7723-7731;18:direct_consumption:TEST:7725.75-7730.75;19:same_side_lean:TEST:7727.5-7728.5,opposition_depleted,,0,0,,1,11:41:42 735.25-737,20.25,4.25,12:34:28,watch_contact
es_20260827_1130_long_7728,11:43:22,TEST,20,demand,supply_consumed,direct_consumption,726.25-728,7729.0,24.574,latest_test,depleted,1.002,0.18,7.0,True,14.0,6.7,6,4,2,1,234.49,25:direct_consumption:TEST:7729.25-7733.25;17:same_side_lean:TEST:7723-7731;18:direct_consumption:TEST:7725.75-7730.75;19:same_side_lean:TEST:7727.5-7728.5;20:direct_consumption:TEST:7726.25-7728,opposition_depleted,,0,0,,1,11:41:42 735.25-737,20.75,3.75,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:02,TEST,23,demand,demand_lean,same_side_lean,725.75-727.75,7728.75,8.076,latest_test,depleted,0.997,0.152,7.0,True,14.25,5.0,7,4,3,1,242.56,17:same_side_lean:TEST:7723-7731;18:direct_consumption:TEST:7725.75-7730.75;19:same_side_lean:TEST:7727.5-7728.5;20:direct_consumption:TEST:7726.25-7728;23:same_side_lean:TEST:7725.75-7727.75,opposition_depleted,,0,0,,1,11:41:42 735.25-737,21.0,3.5,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:03,TEST,16,demand,supply_consumed,direct_consumption,724.50-727,7727.5,30.805,latest_test,replenished,1.309,0.0,7.0,False,15.5,0.0,8,5,3,2,273.37,18:direct_consumption:TEST:7725.75-7730.75;19:same_side_lean:TEST:7727.5-7728.5;20:direct_consumption:TEST:7726.25-7728;23:same_side_lean:TEST:7725.75-7727.75;16:direct_consumption:TEST:7724.5-7727,opposition_depleted,,0,0,,1,11:41:42 735.25-737,22.25,2.25,12:34:28,watch_contact
es_20260827_1130_long_7728,11:44:03,TEST,21,demand,demand_lean,same_side_lean,725-727.50,7727.5,17.58,latest_test,replenished,1.013,0.134,7.0,False,15.5,0.0,9,5,4,3,290.95,19:same_side_lean:TEST:7727.5-7728.5;20:direct_consumption:TEST:7726.25-7728;23:same_side_lean:TEST:7725.75-7727.75;16:direct_consumption:TEST:7724.5-7727;21:same_side_lean:TEST:7725-7727.5,opposition_depleted,,0,0,,1,11:41:42 735.25-737,22.25,2.25,12:34:28,watch_contact
