case_id,time,action,band_id,side,source,family,range,current_price,flow_source,flow_grade,replenish,paid_share,root_cushion_points,runway_points,path_consumed_pct,stack_depth,stack_direct,stack_lean,zz_time,zz_range,zz_side,zz_source,zz_hold_sec,zz_hold_label,zz_failure_time,zz_failure_kind,sponsor_fail_time,sponsor_fail_range,pre_zz_tail_time,pre_zz_tail_price,pre_zz_tail_range,tail_break_time,tail_break_delay_sec,future_mfe,future_mae,future_target_time,call
es_20260827_1130_long_7728,11:51:54,OWNED,41,demand,demand_lean,same_side_lean,725.25-732,7735.0,event_forward,depleted,0.747,0.0,7.0,8.0,46.7,10,4,6,11:44:08,7730.5-7736.25,supply,demand_consumed,466.0,held,11:51:54,implicit_zz_fail_by_reclaim,11:44:08,7728-7733.75,11:41:37,7733.75,723-731,11:51:54,0.0,14.75,2.25,12:34:28,tail_reclaim_reject_depleted
es_20260827_1130_long_7728,11:52:57,HOLD,22,demand,supply_consumed,direct_consumption,726.50-734.75,7737.25,event_forward,depleted,0.584,0.0,9.25,5.75,61.7,10,5,5,11:44:08,7730.5-7736.25,supply,demand_consumed,466.0,held,11:51:54,implicit_zz_fail_by_reclaim,11:44:08,7728-7733.75,11:41:37,7733.75,723-731,11:52:57,0.2,12.5,2.25,12:34:28,tail_reclaim_harvest_not_add
es_20260827_1130_long_7728,11:53:03,CONSUMED,40,demand,supply_consumed,direct_consumption,725.25-734.50,7737.5,event_forward,depleted,0.62,0.0,9.75,5.5,63.3,11,6,5,11:44:08,7730.5-7736.25,supply,demand_consumed,466.0,held,11:51:54,implicit_zz_fail_by_reclaim,11:44:08,7728-7733.75,11:41:37,7733.75,723-731,11:53:03,0.3,12.25,2.5,12:34:28,tail_reclaim_harvest_not_add
es_20260827_1130_long_7728,11:53:03,CONSUMED,43,demand,supply_consumed,direct_consumption,732-734.50,7737.5,event_forward,depleted,0.914,0.0,9.75,5.5,63.3,12,7,5,11:44:08,7730.5-7736.25,supply,demand_consumed,466.0,held,11:51:54,implicit_zz_fail_by_reclaim,11:44:08,7728-7733.75,11:41:37,7733.75,723-731,11:53:03,0.3,12.25,2.5,12:34:28,tail_reclaim_harvest_not_add
es_20260827_1330_short_7748,14:01:13,HOLD,29,supply,supply_lean,same_side_lean,745-747.25,7742.5,latest_test,replenished,1.101,0.237,6.0,13.0,32.5,1,0,1,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:01:13,0.0,18.75,0.25,14:26:35,tail_reclaim_add
es_20260827_1330_short_7748,14:01:29,CONSUMED,30,supply,demand_consumed,direct_consumption,743.50-745.25,7741.5,event_forward,depleted,0.844,0.0,7.5,12.0,37.7,2,1,1,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:01:29,0.2,17.75,0.25,14:26:35,tail_reclaim_reject_depleted
es_20260827_1330_short_7748,14:01:29,OWNED,31,supply,supply_lean,same_side_lean,743.75-745.25,7741.5,event_forward,depleted,0.813,0.0,7.5,12.0,37.7,3,1,2,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:01:29,0.2,17.75,0.25,14:26:35,tail_reclaim_reject_depleted
es_20260827_1330_short_7748,14:10:55,OWNED,32,supply,supply_lean,same_side_lean,736.75-739.75,7734.25,event_forward,replenished,1.143,0.0,14.75,4.75,75.3,4,1,3,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:10:55,0.1,10.5,2.0,14:26:35,tail_reclaim_harvest_not_add
es_20260827_1330_short_7748,14:12:34,HOLD,32,supply,supply_lean,same_side_lean,736.75-739.75,7734.25,latest_test,replenished,1.261,0.0,14.75,4.75,75.3,4,1,3,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:12:34,0.6,10.5,2.0,14:26:35,tail_reclaim_harvest_not_add
es_20260827_1330_short_7748,14:12:45,CONSUMED,33,supply,demand_consumed,direct_consumption,736.25-739.25,7733.75,event_forward,replenished,1.041,0.0,15.25,4.25,77.9,5,2,3,14:00:09,7741-7742.75,demand,supply_consumed,64.0,held,14:01:13,implicit_zz_fail_by_reclaim,14:00:09,7743-7745,13:58:28,7743.0,745-747.25,14:12:45,0.2,10.0,2.5,14:26:35,tail_reclaim_harvest_not_add
